Number,Date,Source,File,Query,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
11,2026-01-16,?graphics::boxplot,,boxplot insect counts for spray type,"boxplot(count ~ spray, data = InsectSprays, col = ""lightgray"")","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'InsectSprays'\n\n# make_plot\npng(filename)\nrequire(stats); require(graphics)\nboxplot(count ~ spray, data = InsectSprays,\n        xlab = ""Type of spray"", ylab = ""Insect count"",\n        main = ""InsectSprays data"", varwidth = TRUE, col = ""lightgray"")\ndev.off()",True,
12,2026-01-16,?graphics::boxplot,,Show log response vs treatment for orchard sprays,"boxplot(decrease ~ treatment, data = OrchardSprays, col = ""bisque"", log = ""y"")","help_package, help_topic, make_plot, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'OrchardSprays'\n\n# make_plot\npng(filename)\nplot(log(df$decrease) ~ df$treatment,\n     xlab = ""Treatment"",\n     ylab = ""Log(Response)"",\n     main = ""Log(Response) vs Treatment for Orchard Sprays"")\ndev.off()\n\n# make_plot\npng(filename)\nplot(log(OrchardSprays$decrease) ~ OrchardSprays$treatment,\n     xlab = ""Treatment"",\n     ylab = ""Log(Response)"",\n     main = ""Log(Response) vs Treatment for Orchard Sprays"")\ndev.off()",True,
13,2026-01-16,?graphics::boxplot,,"For tooth growth of guinea pigs, make side-by-side box plots of tooth length for ascorbic acid and orange juice at different vitamin C doses. Color the bars ascorbic acid - yellow and orange juice - orange","boxplot(len ~ dose, data = ToothGrowth,\n        boxwex = 0.25, at = 1:3 - 0.2,\n        subset = supp == ""VC"", col = ""yellow"",\n        main = ""Guinea Pigs' Tooth Growth"",\n        xlab = ""Vitamin C dose mg"",\n        ylab = ""tooth length"",\n        xlim = c(0.5, 3.5), ylim = c(0, 35), yaxs = ""i"")\nboxplot(len ~ dose, data = ToothGrowth, add = TRUE,\n        boxwex = 0.25, at = 1:3 + 0.2,\n        subset = supp == ""OJ"", col = ""orange"")\nlegend(2, 9, c(""Ascorbic acid"", ""Orange juice""),\n       fill = c(""yellow"", ""orange""))","help_package, make_ggplot","# help_package\n# 'package': 'datasets'\n\n# make_ggplot\nlibrary(ggplot2)\ndata(""ToothGrowth"")\nggplot(ToothGrowth, aes(x = factor(dose), y = len, fill = supp)) +\n  geom_boxplot() +\n  scale_fill_manual(values = c(""VC"" = ""yellow"", ""OJ"" = ""orange"")) +\n  labs(x = ""Vitamin C Dose"", y = ""Tooth Length"", fill = ""Supplement"") +\n  theme_minimal()\nggsave(filename, device = ""png"")",True,The plot is correct but the user didn't ask for ggplot
14,2026-01-16,?graphics::boxplot,,"For tooth growth of guinea pigs, make side-by-side box plots of tooth length for ascorbic acid and orange juice at different vitamin C doses. Color the bars ascorbic acid - yellow and orange juice - orange","boxplot(len ~ dose:supp, data = ToothGrowth,\n        boxwex = 0.5, col = c(""orange"", ""yellow""),\n        main = ""Guinea Pigs' Tooth Growth"",\n        xlab = ""Vitamin C dose mg"", ylab = ""tooth length"",\n        sep = "":"", lex.order = TRUE, ylim = c(0, 35), yaxs = ""i"")","help_package, make_ggplot","# help_package\n# 'package': 'datasets'\n\n# make_ggplot\nlibrary(ggplot2)\ndata(ToothGrowth)\nToothGrowth$dose <- factor(ToothGrowth$dose)\nggplot(ToothGrowth, aes(x = dose, y = len, fill = supp)) +\n  geom_boxplot() +\n  scale_fill_manual(values = c('VC' = 'yellow', 'OJ' = 'orange')) +\n  labs(x = 'Dose', y = 'Tooth Length', title = 'Tooth Length by Delivery Method and Dose') +\n  theme_minimal()\nggsave(filename, device = 'png')",True,The plot is correct but the user didn't ask for ggplot
15,2026-01-16,?graphics::cdplot,,"You have the following data for NASA space shuttle o-ring failures where 1 means 'no' and 2 means 'yes': fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1) temperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81) Make a conditional density plot of o-ring failures given temperature","## NASA space shuttle o-ring failures\nfail <- factor(c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1,\n                 1, 2, 1, 1, 1, 1, 1),\n               levels = 1:2, labels = c(""no"", ""yes""))\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70,\n                 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\n## CD plot\ncdplot(fail ~ temperature)","help_package, help_topic, make_ggplot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'density'\n\n# make_ggplot\nlibrary(ggplot2)\nfail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1)\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\ndf <- data.frame(fail = factor(fail, levels = 1:2, labels = c(""No"", ""Yes"")), temperature = temperature)\nggplot(df, aes(x = temperature, fill = fail)) +\n  geom_density(alpha = 0.5) +\n  labs(title = ""Conditional Density Plot of O-ring Failures"", x = ""Temperature"", fill = ""O-ring Failure"")\nggsave(filename, device = ""png"")",False,Didn't use cdplot()
17,2026-01-16,?graphics::cdplot,,"You have the following data for NASA space shuttle o-ring failures where 1 means 'no' and 2 means 'yes': fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1) temperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81) Plot a red line showing cumulative conditional density of o-ring failures given temperature. Overlay points for failure/no failure observations plotted at probability = 1 or 0.","## NASA space shuttle o-ring failures\nfail <- factor(c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1,\n                 1, 2, 1, 1, 1, 1, 1),\n               levels = 1:2, labels = c(""no"", ""yes""))\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70,\n                 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\n## scatter plot with conditional density\ncdens <- cdplot(fail ~ temperature, plot = FALSE)\nplot(I(as.numeric(fail) - 1) ~ jitter(temperature, factor = 2),\n     xlab = ""Temperature"", ylab = ""Conditional failure probability"")\nlines(53:81, 1 - cdens[[1]](53:81), col = 2)",make_plot,"# make_plot\npng(filename)\nfail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1)\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\nplot(temperature, fail - 1, type=""n"", xlab=""Temperature"", ylab=""Probability of Failure"", yaxt = 'n')\naxis(2, at = 0:1, labels = c(""No Failure"", ""Failure""))\n\n# Plot observations\npoints(temperature, fail - 1, pch = 19)\n\n# Fit logistic regression for cumulative probability\nfit <- glm(fail - 1 ~ temperature, family = binomial(link = ""logit""))\n\n# Predict probabilities and plot\ntemp_seq <- seq(min(temperature), max(temperature), length.out = 100)\npred_probs <- predict(fit, newdata = data.frame(temperature = temp_seq), type = ""response"")\nlines(temp_seq, pred_probs, col = ""red"")\ndev.off()",False,Didn't use cdplot()
18,2026-01-16,?graphics::coplot,,For Tonga Trench Earthquakes plot latitude vs longitude conditioned on depth - use coplot() with quakes dataset,"coplot(lat ~ long | depth, data = quakes)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'coplot'\n\n# make_plot\npng(filename)\ncoplot(lat ~ long | depth, data = quakes)\ndev.off()",True,
20,2026-01-16,?graphics::coplot,,For Tonga Trench Earthquakes plot latitude vs longitude conditioned on four intervals of depth with an overlap of 0.1 - use coplot() with quakes dataset,"given.depth <- co.intervals(quakes$depth, number = 4, overlap = .1)\ncoplot(lat ~ long | depth, data = quakes, given.values = given.depth, rows = 1)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'coplot'\n\n# make_plot\npng(filename)\ngiven.depth <- co.intervals(quakes$depth, number = 4, overlap = 0.1)\ncoplot(lat ~ long | depth, data = quakes, given.values = given.depth, rows = 1)\ndev.off()",True,
21,2026-01-16,?graphics::coplot,,Use warp breaks data and coplot(). Plot breaks vs index (row number) conditioned on wool and tension as crossed factors.,"## given two factors\nIndex <- seq_len(nrow(warpbreaks)) # to get nicer default labels\ncoplot(breaks ~ Index | wool * tension, data = warpbreaks, show.given = 0:1)","help_package, help_topic, make_plot, make_plot, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'warpbreaks'\n\n# make_plot\npng(filename)\ncoplot(breaks ~ 1 | wool * tension, data = warpbreaks, panel = function(x, y) {\n    points(x, y)\n    lines(x, y)\n  })\ndev.off()\n\n# make_plot\npng(filename)\n# Create an index for each observation\nwarpbreaks$index <- seq_len(nrow(warpbreaks))\n\n# Create the coplot using breaks vs index conditioned on wool and tension\ncoplot(breaks ~ index | wool * tension, data = warpbreaks, panel = function(x, y) {\n  points(x, y)\n  lines(x, y)\n})\n\ndev.off()\n\n# make_plot\npng(filename)\n# Create an index for each observation\nwarpbreaks$index <- seq_len(nrow(warpbreaks))\n\n# Create the coplot using breaks vs index conditioned on wool and tension\ncoplot(breaks ~ index | wool * tension, data = warpbreaks, \n       panel = function(x, y, ...) {\n         points(x, y)\n         lines(x, y)\n       })\n\ndev.off()",True,Plot is ok but lines aren't needed
22,2026-01-16,?graphics::contour,,A Topographic Map of Maunga Whau (single color),"rx <- range(x <- 10*1:nrow(volcano))\nry <- range(y <- 10*1:ncol(volcano))\nry <- ry + c(-1, 1) * (diff(rx) - diff(ry))/2\ntcol <- terrain.colors(12)\npar(pty = ""s"", bg = ""lightcyan"")\nplot(x = 0, y = 0, type = ""n"", xlim = rx, ylim = ry, xlab = """", ylab = """")\nu <- par(""usr"")\nrect(u[1], u[3], u[2], u[4], col = tcol[8], border = ""red"")\ncontour(x, y, volcano, col = tcol[2], lty = ""solid"", add = TRUE,\n        vfont = c(""sans serif"", ""plain""))\ntitle(""A Topographic Map of Maunga Whau"", font = 4)\nabline(h = 200*0:4, v = 200*0:4, col = ""lightgray"", lty = 2, lwd = 0.1)","help_package, make_plot","# help_package\n# 'package': 'datasets'\n\n# make_plot\npng(filename)\nimage(volcano, col = terrain.colors(1), axes = FALSE)\ncontour(volcano, add = TRUE)\naxis(1, at = seq(0, ncol(volcano), length.out = 5), labels = round(seq(0, ncol(volcano), length.out = 5)))\naxis(2, at = seq(0, nrow(volcano), length.out = 5), labels = round(seq(0, nrow(volcano), length.out = 5)))\nbox()\ndev.off()",True,
23,2026-01-16,?graphics::contour,,A Topographic Map of Maunga Whau (single color) - use volcano data with contour(),"rx <- range(x <- 10*1:nrow(volcano))\nry <- range(y <- 10*1:ncol(volcano))\nry <- ry + c(-1, 1) * (diff(rx) - diff(ry))/2\ntcol <- terrain.colors(12)\npar(pty = ""s"", bg = ""lightcyan"")\nplot(x = 0, y = 0, type = ""n"", xlim = rx, ylim = ry, xlab = """", ylab = """")\nu <- par(""usr"")\nrect(u[1], u[3], u[2], u[4], col = tcol[8], border = ""red"")\ncontour(x, y, volcano, col = tcol[2], lty = ""solid"", add = TRUE,\n        vfont = c(""sans serif"", ""plain""))\ntitle(""A Topographic Map of Maunga Whau"", font = 4)\nabline(h = 200*0:4, v = 200*0:4, col = ""lightgray"", lty = 2, lwd = 0.1)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'contour'\n\n# make_plot\npng(filename)\ncontour(volcano, drawlabels = FALSE, col = ""black"")\ntitle(""A Topographic Map of Maunga Whau"")\ndev.off()",True,
24,2026-01-16,?graphics::dotchart,,Dotplot Virginia deaths - use VADeaths and dotchart(),"dotchart(VADeaths, main = ""Death Rates in Virginia - 1940"")","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'dotchart'\n\n# make_plot\npng(filename)\ndotchart(VADeaths, main = ""Death Rates in Virginia - 1940"")\ndev.off()",True,
25,2026-01-16,?graphics::dotchart,,"Dotplot Virginia deaths with age as first group,  x axis from 0 to 100% - use VADeaths and dotchart()","op <- par(xaxs = ""i"")  # 0 -- 100%\ndotchart(t(VADeaths), xlim = c(0,100), bg = ""skyblue"",\n         main = ""Death Rates in Virginia - 1940"", xlab = ""rate [ % ]"",\n         ylab = ""Grouping:  Age  x   Urbanity . Gender"")","help_package, help_topic, make_plot, make_plot, make_plot, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'VADeaths'\n\n# make_plot\npng(filename)\ndotchart(VADeaths, groups = rownames(VADeaths), xlim = c(0, 100), main = ""Virginia Deaths by Age Group"", xlab = ""Death Rate (%)"")\ndev.off()\n\n# make_plot\npng(filename)\n# Convert death rates to percentage of total for each age group\nVADeaths_percent <- prop.table(VADeaths, 1) * 100\n# Create a dotchart with age as first group\ndotchart(VADeaths_percent, groups = rownames(VADeaths), xlim = c(0, 100), main = ""Virginia Deaths by Age Group"", xlab = ""Death Rate (%)"")\ndev.off()\n\n# make_plot\npng(filename)\n# Flatten the VADeaths matrix for plotting\ndrates <- as.vector(t(VADeaths))\n# Set age groups as labels\ngroups <- rep(rownames(VADeaths), each = ncol(VADeaths))\n# Plot dotchart\nspot <- dotchart(drates, labels = groups, xlim = c(0, 100), main = ""Virginia Deaths by Age Group"", xlab = ""Death Rate (%)"")\n# Add groupings on y-axis\naxis(2, at = unique(spot$y), labels = rep(colnames(VADeaths), times = nrow(VADeaths)), las = 2)\ndev.off()\n\n# make_plot\npng(filename)\n# Flatten the VADeaths matrix for plotting\nflattened_values <- as.vector(t(VADeaths))\n# Define age groups as labels\nage_groups <- rep(rownames(VADeaths), each = ncol(VADeaths))\n# Plot dotchart\nspot <- dotchart(flattened_values, labels = age_groups, xlim = c(0, 100), main = ""Virginia Deaths by Age Group"", xlab = ""Death Rate (%)"")\n# Add grouping labels on y-axis based on population groups\naxis(2, at = seq_along(flattened_values), labels = rep(colnames(VADeaths), times = nrow(VADeaths)), las = 2)\ndev.off()",False,Incorrect data transformation
26,2026-01-16,?graphics::filled.contour,,Plot topography of Maunga Whau with terrain colors - use volcano data and filled.contour(),"x <- 10*1:nrow(volcano)\ny <- 10*1:ncol(volcano)\nfilled.contour(x, y, volcano,\n    color.palette = function(n) hcl.colors(n, ""terrain""),\n    plot.title = title(main = ""The Topography of Maunga Whau"",\n    xlab = ""Meters North"", ylab = ""Meters West""),\n    plot.axes = { axis(1, seq(100, 800, by = 100))\n                  axis(2, seq(100, 600, by = 100)) },\n    key.title = title(main = ""Height\n(meters)""),\n    key.axes = axis(4, seq(90, 190, by = 10)))  # maybe also asp = 1\nmtext(paste(""filled.contour(.) from"", R.version.string),\n      side = 1, line = 4, adj = 1, cex = .66)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'filled.contour'\n\n# make_plot\npng(filename)\nfilled.contour(volcano, \n               color.palette = function(n) hcl.colors(n, ""terrain""),\n               plot.title = title(main = ""The Topography of Maunga Whau"",\n               xlab = ""Meters North"", ylab = ""Meters West""),\n               plot.axes = { axis(1, seq(100, 800, by = 100))\n                             axis(2, seq(100, 600, by = 100)) },\n               key.title = title(main = ""Height\n(meters)""),\n               key.axes = axis(4, seq(90, 190, by = 10)))\ndev.off()",True,
27,2026-01-16,?graphics::grid,,"Plot iris sepal length vs width, color by species, ten tick marks on each axis, add grid","## change the desired number of tick marks:\npar(lab = c(10, 10, 7))\n\nwith(iris,\n     {\n     plot(Sepal.Length, Sepal.Width, col = as.integer(Species),\n          xlim = c(4, 8), ylim = c(2, 4.5), panel.first = grid(),\n          main = ""with(iris,  plot(...., panel.first = grid(), ..) )"")\n     }\n    )","help_package, make_plot","# help_package\n# 'package': 'datasets'\n\n# make_plot\npng(filename)\nplot(iris$Sepal.Length, iris$Sepal.Width, col = iris$Species,\n     xlab = 'Sepal Length', ylab = 'Sepal Width',\n     xaxp = c(min(iris$Sepal.Length), max(iris$Sepal.Length), 9),\n     yaxp = c(min(iris$Sepal.Width), max(iris$Sepal.Width), 9))\ngrid()\ndev.off()",True,
28,2026-01-16,?graphics::hist,,"Use islands data, plot histogram of square root of islands, 12 bars, light blue bars and pink borders","hist(sqrt(islands), breaks = 12, col = ""lightblue"", border = ""pink"")","help_package, run_visible, make_plot","# help_package\n# 'package': 'datasets'\n\n# run_visible\ndf <- data.frame(islands)\ndata_summary(df)\n\n# make_plot\npng(filename)\nhist(sqrt(df$islands), breaks = 12, col = ""lightblue"", border = ""pink"", main = ""Histogram of Square Root of Islands"")\ndev.off()",True,
29,2026-01-16,Modified from ?graphics::axis.POSIXct,,"For beaver1, make a histogram of number of observations per hour","with(beaver1, {\n    time <- strptime(paste(1990, day, time %/% 100, time %% 100), ""%Y %j %H %M"")\n    time_p <- as.POSIXct(time)\n    hist(time_p, breaks = ""hours"", freq = TRUE)\n})","help_package, help_topic, run_visible, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'beavers'\n\n# run_visible\ndf <- data.frame(beaver1)\ndata_summary(df)\n\n# make_plot\npng(filename)\n# Convert time to hour and count observations per hour\ndf$hour <- df$time %/% 100\nobs_per_hour <- table(df$hour)\nbarplot(obs_per_hour, main = ""Number of Observations per Hour for Beaver1"",\n        xlab = ""Hour"", ylab = ""Number of Observations"", col = ""lightblue"")\ndev.off()",True,Times are shifted to start at 0 but it fulfills the user's request
30,2026-01-16,?graphics::image,,"volcano data: Use image() to plot topography of Maunga Whau Volcano with terrain colors, overlay brown contour lines","x <- 10*(1:nrow(volcano))\ny <- 10*(1:ncol(volcano))\nimage(x, y, volcano, col = hcl.colors(100, ""terrain""), axes = FALSE)\ncontour(x, y, volcano, levels = seq(90, 200, by = 5),\n        add = TRUE, col = ""brown"")\naxis(1, at = seq(100, 800, by = 100))\naxis(2, at = seq(100, 600, by = 100))\nbox()\ntitle(main = ""Maunga Whau Volcano"", font.main = 4)","help_package, help_topic, make_plot","# help_package\n# 'package': 'datasets'\n\n# help_topic\n# 'topic': 'volcano'\n\n# make_plot\npng(filename)\nimage(volcano, col = terrain.colors(100), asp = 1)\ncontour(volcano, add = TRUE, col = 'brown')\ndev.off()",True,
