Number,Date,Source,File,Prompt,Ref_Code,Gen_Tool,Gen_Code,Correct,Note
15,2025-10-24,?graphics::cdplot,,"You have the following data for NASA space shuttle o-ring failures where 1 means 'no' and 2 means 'yes': fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1) temperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81) Make a conditional density plot of o-ring failures given temperature","## NASA space shuttle o-ring failures\nfail <- factor(c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1,\n                 1, 2, 1, 1, 1, 1, 1),\n               levels = 1:2, labels = c(""no"", ""yes""))\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70,\n                 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\n## CD plot\ncdplot(fail ~ temperature)",run_visible,"fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1)\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\nlibrary(ggplot2)\n\ndata <- data.frame(fail, temperature)\n\n# Convert 'fail' to a factor\ndata$fail <- factor(data$fail, levels = c(1, 2), labels = c('No', 'Yes'))\n\n# Create a conditional density plot\nggplot(data, aes(x = temperature, fill = fail)) + \n  geom_density(alpha = 0.5) + \n  labs(title = ""Conditional Density Plot of O-Ring Failures Given Temperature"", x = ""Temperature"", y = ""Density"") + \n  theme_minimal()",False,"Incorrect tool call; No plot made: ""error"": ""cannot coerce type 'object' to vector of type 'character'"""
17,2025-10-24,?graphics::cdplot,,"You have the following data for NASA space shuttle o-ring failures where 1 means 'no' and 2 means 'yes': fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1) temperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81) Plot a red line showing cumulative conditional density of o-ring failures given temperature. Overlay points for failure/no failure observations plotted at probability = 1 or 0.","## NASA space shuttle o-ring failures\nfail <- factor(c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1,\n                 1, 2, 1, 1, 1, 1, 1),\n               levels = 1:2, labels = c(""no"", ""yes""))\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70,\n                 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\n## scatter plot with conditional density\ncdens <- cdplot(fail ~ temperature, plot = FALSE)\nplot(I(as.numeric(fail) - 1) ~ jitter(temperature, factor = 2),\n     xlab = ""Temperature"", ylab = ""Conditional failure probability"")\nlines(53:81, 1 - cdens[[1]](53:81), col = 2)",make_plot,"fail <- c(2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1)\ntemperature <- c(53, 57, 58, 63, 66, 67, 67, 67, 68, 69, 70, 70, 70, 70, 72, 73, 75, 75, 76, 76, 78, 79, 81)\n\n# Define failure as a binary variable\nfailure <- ifelse(fail == 2, 1, 0)\n\n# Calculate cumulative density of failures\ncum_density <- cumsum(failure) / seq_along(failure)\n\n# Set up the plot\npng(filename)\nplot(temperature, cum_density, type = ""l"", col = ""red"", lwd = 2,\n     xlab = ""Temperature (F)"", ylab = ""Cumulative Conditional Density of Failures"",\n     main = ""Cumulative Conditional Density of O-Ring Failures vs. Temperature"")\n\n# Overlay points for failure/no failure\npoints(temperature, failure, pch = 19, col = ifelse(failure == 1, ""red"", ""blue""))\n\n# Add a horizontal line for reference\nabline(h = 0, col = ""grey"")\nabline(h = 1, col = ""grey"")\ndev.off()""",False,Use cdplot()
18,2025-10-24,?graphics::coplot,,For Tonga Trench Earthquakes plot latitude vs longitude conditioned on depth - use coplot() with quakes dataset,"coplot(lat ~ long | depth, data = quakes)","help_package, help_topic, make_plot","png(filename)\npar(mfrow=c(1,2))\ncoplot(lat ~ long | depth, data = quakes, layout = c(1, 1), col = ""blue"", main = ""Latitude vs Longitude conditioned on Depth"")\ndev.off()",True,
20,2025-10-24,?graphics::coplot,,For Tonga Trench Earthquakes plot latitude vs longitude conditioned on four intervals of depth with an overlap of 0.1 - use coplot() with quakes dataset,"given.depth <- co.intervals(quakes$depth, number = 4, overlap = .1)\ncoplot(lat ~ long | depth, data = quakes, given.values = given.depth, rows = 1)",make_plot,"png(filename)\n# Load the quakes dataset\n\ndata(quakes)\n\n# Define depth intervals and colors\nbreaks <- seq(0, 700, by = 100)\ncolors <- c(""blue"", ""green"", ""yellow"", ""red"")\n\n# Create coplot\ncoplot(lat ~ long | cut(depth, breaks = breaks), data = quakes, col = colors,\n       number = 4, overlap = 0.1, xlab = ""Longitude"", ylab = ""Latitude"", \n       main = ""Tonga Trench Earthquakes: Latitude vs Longitude by Depth Intervals"")\n\ndev.off()",False,Use co.intervals to calculate intervals passed as given.values to coplot()
21,2025-10-27,?graphics::coplot,,Use warp breaks data and coplot(). Plot breaks vs index (row number) conditioned on wool and tension as crossed factors.,"## given two factors\nIndex <- seq_len(nrow(warpbreaks)) # to get nicer default labels\ncoplot(breaks ~ Index | wool * tension, data = warpbreaks, show.given = 0:1)",make_plot,"png(filename)\n# Load the warpbreaks dataset\ndata(warpbreaks)\n\n# Generate the coplot\ncoplot(breaks ~ row.index | wool * tension, data = transform(warpbreaks, row.index = 1:nrow(warpbreaks)), panel = panel.smooth)\ndev.off()",True,
22,2025-10-29,?graphics::contour,,A Topographic Map of Maunga Whau (single color),"rx <- range(x <- 10*1:nrow(volcano))\nry <- range(y <- 10*1:ncol(volcano))\nry <- ry + c(-1, 1) * (diff(rx) - diff(ry))/2\ntcol <- terrain.colors(12)\npar(pty = ""s"", bg = ""lightcyan"")\nplot(x = 0, y = 0, type = ""n"", xlim = rx, ylim = ry, xlab = """", ylab = """")\nu <- par(""usr"")\nrect(u[1], u[3], u[2], u[4], col = tcol[8], border = ""red"")\ncontour(x, y, volcano, col = tcol[2], lty = ""solid"", add = TRUE,\n        vfont = c(""sans serif"", ""plain""))\ntitle(""A Topographic Map of Maunga Whau"", font = 4)\nabline(h = 200*0:4, v = 200*0:4, col = ""lightgray"", lty = 2, lwd = 0.1)",,,False,"No plot made: ""It seems that I cannot fulfill your request for a Topographic Map of Maunga Whau as there are no available artifacts or data sources to work with."""
23,2025-10-24,?graphics::contour,,A Topographic Map of Maunga Whau (single color) - use volcano data with contour(),"rx <- range(x <- 10*1:nrow(volcano))\nry <- range(y <- 10*1:ncol(volcano))\nry <- ry + c(-1, 1) * (diff(rx) - diff(ry))/2\ntcol <- terrain.colors(12)\npar(pty = ""s"", bg = ""lightcyan"")\nplot(x = 0, y = 0, type = ""n"", xlim = rx, ylim = ry, xlab = """", ylab = """")\nu <- par(""usr"")\nrect(u[1], u[3], u[2], u[4], col = tcol[8], border = ""red"")\ncontour(x, y, volcano, col = tcol[2], lty = ""solid"", add = TRUE,\n        vfont = c(""sans serif"", ""plain""))\ntitle(""A Topographic Map of Maunga Whau"", font = 4)\nabline(h = 200*0:4, v = 200*0:4, col = ""lightgray"", lty = 2, lwd = 0.1)",make_plot,"png(filename)\n# Load the volcano dataset\nvolcano_data <- as.matrix(volcano)\n\n# Generate the topographic map using contour function\ncontour(volcano_data, col = ""darkgreen"", lwd = 2, main = ""Topographic Map of Maunga Whau"", xlab = ""X-axis"", ylab = ""Y-axis"")\ndev.off()",True,
24,2025-10-31,?graphics::dotchart,,Dotplot Virginia deaths - use VADeaths and dotchart(),"dotchart(VADeaths, main = ""Death Rates in Virginia - 1940"")","help_package, run_hidden","dotchart(VADeaths, main=""Virginia Deaths"", xlab=""Death Rates"", ylab=""Age Groups"")",False,Incorrect tool call
25,2025-10-31,?graphics::dotchart,,"Dotplot Virginia deaths with age as first group,  x axis from 0 to 100% - use VADeaths and dotchart()","op <- par(xaxs = ""i"")  # 0 -- 100%\ndotchart(t(VADeaths), xlim = c(0,100), bg = ""skyblue"",\n         main = ""Death Rates in Virginia - 1940"", xlab = ""rate [ % ]"",\n         ylab = ""Grouping:  Age  x   Urbanity . Gender"")","run_hidden, make_plot","# run_hidden\ndata(VADeaths)\nVADeaths_percent <- prop.table(VADeaths, margin = 1) * 100\n\n# make_plot\npng(filename)\n dotchart(VADeaths_percent, main=""Virginia Deaths by Age Group"", xlab=""Percentage (%)"", col = rainbow(length(VADeaths_percent)), pch = 19)\n dev.off()",False,Incorrect data transformation
26,2025-10-31,?graphics::filled.contour,,Plot topography of Maunga Whau with terrain colors - use volcano data and filled.contour(),"x <- 10*1:nrow(volcano)\ny <- 10*1:ncol(volcano)\nfilled.contour(x, y, volcano,\n    color.palette = function(n) hcl.colors(n, ""terrain""),\n    plot.title = title(main = ""The Topography of Maunga Whau"",\n    xlab = ""Meters North"", ylab = ""Meters West""),\n    plot.axes = { axis(1, seq(100, 800, by = 100))\n                  axis(2, seq(100, 600, by = 100)) },\n    key.title = title(main = ""Height\n(meters)""),\n    key.axes = axis(4, seq(90, 190, by = 10)))  # maybe also asp = 1\nmtext(paste(""filled.contour(.) from"", R.version.string),\n      side = 1, line = 4, adj = 1, cex = .66)",,"png(filename)\n# Load the volcano dataset, which is a matrix\nvolcano_data <- volcano\n\n# Create a filled contour plot\nfilled.contour(volcano_data, \n               color.palette = terrain.colors,\n               xlab = ""x coordinate (meters)"",\n               ylab = ""y coordinate (meters)"",\n               main = ""Topography of Maunga Whau (Volcano Data)"")\ndev.off()",False,No plot generated: ValueError: Agent Map not found in the agent tree.
27,2025-10-24,?graphics::grid,,"Plot iris sepal length vs width, color by species, ten tick marks on each axis, add grid","## change the desired number of tick marks:\npar(lab = c(10, 10, 7))\n\nwith(iris,\n     {\n     plot(Sepal.Length, Sepal.Width, col = as.integer(Species),\n          xlim = c(4, 8), ylim = c(2, 4.5), panel.first = grid(),\n          main = ""with(iris,  plot(...., panel.first = grid(), ..) )"")\n     }\n    )",make_plot,"png(filename)\n# Load iris dataset\n\ndata(iris)\n\n# Create the plot\nplot(iris$Sepal.Length, iris$Sepal.Width, \n     xlab = ""Sepal Length"", ylab = ""Sepal Width"", \n     pch = 19, col = iris$Species)\n\n# Add grid\ngrid()\n\n# Set tick marks\naxis(1, at = seq(min(iris$Sepal.Length), max(iris$Sepal.Length), length.out = 10))\naxis(2, at = seq(min(iris$Sepal.Width), max(iris$Sepal.Width), length.out = 10))\n\ndev.off()",False,Use par(lab = ) to change number of tick marks
28,2025-10-26,?graphics::hist,,"Use islands data, plot histogram of square root of islands, 12 bars, light blue bars and pink borders","hist(sqrt(islands), breaks = 12, col = ""lightblue"", border = ""pink"")","help_topic(""islands""), help_package(""graphics""), make_plot","png(filename)\nbarplot(hist(sqrt(islands), breaks=12, plot=FALSE)$counts,\n        col='lightblue', border='pink',\n        main='Histogram of Square Root of Islands',\n        xlab='Square Root of Area',\n        ylab='Frequency')\ndev.off()",False,Missing x tick marks
29,2025-10-31,Modified from ?graphics::axis.POSIXct,,"For beaver1, make a histogram of number of observations per hour","with(beaver1, {\n    time <- strptime(paste(1990, day, time %/% 100, time %% 100), ""%Y %j %H %M"")\n    time_p <- as.POSIXct(time)\n    hist(time_p, breaks = ""hours"", freq = TRUE)\n})","run_visible, make_plot","# run_visible\ndf <- data.frame(beaver1)\ndata_summary(df)\n\n# make_plot\npng(filename)\ndf <- data.frame(beaver1)\n\n# Create a histogram of the number of observations per hour\ndf$hour <- as.integer(df$time/60)\nobs_per_hour <- table(df$hour)\n\nhist(obs_per_hour, breaks = seq(min(obs_per_hour), max(obs_per_hour) + 1) - 0.5, \n     main='Number of Observations per Hour',\n     xlab='Hours', ylab='Number of Observations',\n     col='blue')\ndev.off()",False,Incorrect data transformation
30,2025-10-31,?graphics::image,,"volcano data: Use image() to plot topography of Maunga Whau Volcano with terrain colors, overlay brown contour lines","x <- 10*(1:nrow(volcano))\ny <- 10*(1:ncol(volcano))\nimage(x, y, volcano, col = hcl.colors(100, ""terrain""), axes = FALSE)\ncontour(x, y, volcano, levels = seq(90, 200, by = 5),\n        add = TRUE, col = ""brown"")\naxis(1, at = seq(100, 800, by = 100))\naxis(2, at = seq(100, 600, by = 100))\nbox()\ntitle(main = ""Maunga Whau Volcano"", font.main = 4)","run_hidden, make_plot","# run_hidden\ndata(volcano)\nterrain_colors <- terrain.colors(10)\n\n# make_plot\npng(filename)\n# Plot topography of Maunga Whau Volcano with terrain colors\nimage(volcano, col=terrain_colors, axes=FALSE)\n\n# Overlay brown contour lines\ncontour(volcano, add=TRUE, col='brown')\ndev.off()",True,
31,2025-10-26,?graphics::lines,,cars data: scatterplot stopping distance vs speed and add a smooth line ,"plot(cars, main = ""Stopping Distance versus Speed"")\nlines(stats::lowess(cars))","help_package(""dataset""), help_topic(""cars""), make_plot","png(filename)\ndf <- cars\nplot(df$speed, df$dist, xlab = ""Speed (mph)"", ylab = ""Stopping Distance (ft)"", main = ""Stopping Distance vs Speed"")\nlines(smooth.spline(df$speed, df$dist), col = ""blue"")\ndev.off()",True,
32,2025-10-26,?graphics::matplot,,"iris data: Plot width vs length with symbols: s/v for Setosa/Versicolor, red/blue for petals/sepals, lowercase/uppercase for petals/sepals.","table(iris$Species) # is data.frame with 'Species' factor\niS <- iris$Species == ""setosa""\niV <- iris$Species == ""versicolor""\nop <- par(bg = ""bisque"")\nmatplot(c(1, 8), c(0, 4.5), type =  ""n"", xlab = ""Length"", ylab = ""Width"",\n        main = ""Petal and Sepal Dimensions in Iris Blossoms"")\nmatpoints(iris[iS,c(1,3)], iris[iS,c(2,4)], pch = ""sS"", col = c(2,4))\nmatpoints(iris[iV,c(1,3)], iris[iV,c(2,4)], pch = ""vV"", col = c(2,4))\nlegend(1, 4, c(""    Setosa Petals"", ""    Setosa Sepals"",\n               ""Versicolor Petals"", ""Versicolor Sepals""),\n       pch = ""sSvV"", col = rep(c(2,4), 2))",make_plot,"png(filename)\n# Load the iris dataset\n data(iris)\n\n# Set up the plotting symbol: s for Setosa, v for Versicolor\n symbols <- ifelse(iris$Species == ""setosa"", ""s"", ""v"")\n\n# Set up colors: red for petals, blue for sepals\n colors <- ifelse(iris$Petal.Length > 1.5, ""red"", ""blue"")\n\n# Set up case: lowercase for petals, uppercase for sepals\n case <- ifelse(iris$Petal.Length > 1.5, ""P"", ""S"")\n\n# Combine symbols, colors, and cases\n plot(iris$Sepal.Length, iris$Sepal.Width, pch=case, col=colors, cex=2,\n      xlab=""Sepal Length"", ylab=""Sepal Width"", main=""Sepal Width vs Length"")\n\n# Add legend\n legend(""topright"", legend=c(""Setosa"", ""Versicolor""), pch=c(""s"", ""v""), col=c(""red"", ""blue""), title=""Species"")\n dev.off()",False,Fix symbols and add petal data
33,2025-10-31,?graphics::matplot,,"gait data: plot angle knee vs hip. different lines for each subject, label points with subject number","iS <- 1:3 # indices of subset\nmatplot(gait[, iS, 1], gait[, iS, 2], pch = ""123"", type = ""b"",\n        col = rainbow(3, start = 0.8, end = 0.1),\n        sub = paste(iS, dimnames(gait)[[2]][iS],\n                    sep = ""="", collapse= "",  ""),\n        xlab = ""Hip angle"", ylab = ""Knee angle"",\n        main = ""Hip and knee angle while walking"")","run_hidden, make_plot","# run_hidden\ndata(gait)\nhead(gait)\nsummary(gait)\n\n# make_plot\npng(filename)\nplot(gait$hip, gait$knee, type='n', xlab='Hip Angle', ylab='Knee Angle', main='Knee vs Hip Angle by Subject')\ntext(gait$hip, gait$knee, labels=gait$subject, cex=0.7)\nlines(gait$hip[gait$subject==1], gait$knee[gait$subject==1], col='red')\nlines(gait$hip[gait$subject==2], gait$knee[gait$subject==2], col='blue')\nlines(gait$hip[gait$subject==3], gait$knee[gait$subject==3], col='green')\nlines(gait$hip[gait$subject==4], gait$knee[gait$subject==4], col='purple')\ndev.off()",False,"No plot made: ""error"": ""$ operator is invalid for atomic vectors"""
34,2025-10-31,?graphics::mosaicplot,,mosaic plot of survival on the Titanic contingent on sex (x) and age (y),"mosaicplot(~ Sex + Age + Survived, data = Titanic, color = TRUE)","run_visible, make_plot","# run_visible\ndf <- as.data.frame(Titanic)\ndata_summary(df)\n\n# make_plot\npng(filename)\ndf <- as.data.frame(Titanic)\nmosaicplot(~Sex + Age + Survived, data = df, main = ""Mosaic Plot of Titanic Survival by Sex and Age"", xlab = ""Sex"", ylab = ""Age"", color = TRUE)\ndev.off()",False,
35,2025-10-26,?graphics::mosaicplot,,extended mosaic plot of HairEyeColor data,"mosaicplot(HairEyeColor, shade = TRUE)",make_plot,"png(filename)\ndata(HairEyeColor)\n\n# Create a contingency table\ncontingency_table <- as.table(HairEyeColor)\n\n# Create an extended mosaic plot\nmosaicplot(contingency_table, main = ""Extended Mosaic Plot of Hair Eye Color"", color = TRUE, xlab = ""Hair Color"", ylab = ""Eye Color"")\ndev.off()",False,Use shade = TRUE for extended mosaic plot
